icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
eclipse-flare,astronomical phenomenon,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_UtJFwsNVYNqqi5DU9uWHcolf,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.905803,,1
eclipse-flare,astronomy,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_UtJFwsNVYNqqi5DU9uWHcolf,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.905803,,1
eclipse-flare,cardinal points,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_mewESe7eGBLzMZc2w9RdsZsO,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.567768,,1
eclipse-flare,celestial,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_UtJFwsNVYNqqi5DU9uWHcolf,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.905803,,1
eclipse-flare,compass,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_mewESe7eGBLzMZc2w9RdsZsO,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.567768,,1
eclipse-flare,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_mewESe7eGBLzMZc2w9RdsZsO,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.567768,,1
eclipse-flare,eclipse,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_UtJFwsNVYNqqi5DU9uWHcolf,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.905803,,1
eclipse-flare,flare,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_UtJFwsNVYNqqi5DU9uWHcolf,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.905803,,1
eclipse-flare,moon,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_UtJFwsNVYNqqi5DU9uWHcolf,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.905803,,1
eclipse-flare,navigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_mewESe7eGBLzMZc2w9RdsZsO,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.567768,,1
eclipse-flare,navigation tool,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_mewESe7eGBLzMZc2w9RdsZsO,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.567768,,1
eclipse-flare,orientation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_mewESe7eGBLzMZc2w9RdsZsO,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.567768,,1
