icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
evasion,alarm,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_v2Jrbk9jrTwtbWM5Ggw9uQPy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.740328,,1
evasion,alert,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_v2Jrbk9jrTwtbWM5Ggw9uQPy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.740328,,1
evasion,avoid,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6c9fhGnoHWBbMoZPvpLjMUu3,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.804268,,1
evasion,avoidance,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6c9fhGnoHWBbMoZPvpLjMUu3,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.804268,,1
evasion,danger,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_v2Jrbk9jrTwtbWM5Ggw9uQPy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.740328,,2
evasion,emergency,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_v2Jrbk9jrTwtbWM5Ggw9uQPy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.740328,,1
evasion,escape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_v2Jrbk9jrTwtbWM5Ggw9uQPy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.740328,,2
evasion,evacuation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_v2Jrbk9jrTwtbWM5Ggw9uQPy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.740328,,1
evasion,exit,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_v2Jrbk9jrTwtbWM5Ggw9uQPy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.740328,,1
evasion,figure,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_6c9fhGnoHWBbMoZPvpLjMUu3,0,gpt-4o-2024-08-06,2024-08-18T22:29:03.804268,,1
