icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
evil-bat,bat,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hJgjJ0DlR3SEfv7Fu3jucw88,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.098853,,1
evil-bat,dark,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hJgjJ0DlR3SEfv7Fu3jucw88,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.098853,,1
evil-bat,darkness,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hJgjJ0DlR3SEfv7Fu3jucw88,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.098853,,1
evil-bat,dragon,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7bNHjXLZhQnkCDLmmc7E3EZe,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.621779,,1
evil-bat,evil,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hJgjJ0DlR3SEfv7Fu3jucw88,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.098853,,1
evil-bat,fantasy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7bNHjXLZhQnkCDLmmc7E3EZe,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.622779,,2
evil-bat,horns,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7bNHjXLZhQnkCDLmmc7E3EZe,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.622779,,1
evil-bat,mythical creature,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7bNHjXLZhQnkCDLmmc7E3EZe,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.621779,,1
evil-bat,night,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hJgjJ0DlR3SEfv7Fu3jucw88,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.098853,,1
evil-bat,symbol,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hJgjJ0DlR3SEfv7Fu3jucw88,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.098853,,1
evil-bat,tail,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7bNHjXLZhQnkCDLmmc7E3EZe,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.621779,,1
evil-bat,wings,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7bNHjXLZhQnkCDLmmc7E3EZe,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.621779,,2
