icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
explosive-materials,burst,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,sunrise,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,emergence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,expansion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,fan,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,growth,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,progress,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,radiation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,conceptual,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,creativity,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,exploration,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,future,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,illustration,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,innovation,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
explosive-materials,pathways,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aQwnXCGkdBwE8Lh8OW3SA8im,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.643824,,1
