icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
extraction-orb,extraction,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_gRti4QxvlMdX9G0NsSjZbaDh,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.236760,,1
extraction-orb,light,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_b4D4Wjf3oWe4rAQVaxOfOghU,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.648822,,1
extraction-orb,orb,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_gRti4QxvlMdX9G0NsSjZbaDh,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.236760,,1
extraction-orb,radiate,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_b4D4Wjf3oWe4rAQVaxOfOghU,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.648822,,1
extraction-orb,rays,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_b4D4Wjf3oWe4rAQVaxOfOghU,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.648822,,2
extraction-orb,shine,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_b4D4Wjf3oWe4rAQVaxOfOghU,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.648822,,1
extraction-orb,sphere,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_gRti4QxvlMdX9G0NsSjZbaDh,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.236760,,1
extraction-orb,sun,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_b4D4Wjf3oWe4rAQVaxOfOghU,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.648822,,1
extraction-orb,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_b4D4Wjf3oWe4rAQVaxOfOghU,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.648822,,2
extraction-orb,beam,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_b4D4Wjf3oWe4rAQVaxOfOghU,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.648822,,1
extraction-orb,brightness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_b4D4Wjf3oWe4rAQVaxOfOghU,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.648822,,1
extraction-orb,burst,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_b4D4Wjf3oWe4rAQVaxOfOghU,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.648822,,2
