icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
fast-arrow,burst,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,explosion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,impact,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,collision,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,danger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,disperse,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,fragmentation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,shatter,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,strike,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,sudden,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,action,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,cut,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,disturbance,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,effect,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,event,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,motion,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
fast-arrow,transition,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xMssJYWZHGGgO9m3ttIHcJzo,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.677351,,1
