icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
feather-necklace,adornment,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,falling,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,feather,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,jewelry,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.028773,,1
feather-necklace,jumping,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,necklace,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,ornament,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,parachute,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,pendant,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,safety,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,skydiving,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,accessory,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,activity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,adventure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,aerodynamics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,altitude,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,craftsmanship,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.028773,,1
feather-necklace,decoration,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,delicate,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,deployment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,design,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.028773,,1
feather-necklace,elegance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,expression,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.028773,,1
feather-necklace,fashion,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,flight,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,freefall,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,gravity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,identity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.028773,,1
feather-necklace,landing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,native,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,outdoor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,sophistication,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,sports,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,style,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,suspension,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,tradition,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.028773,,1
feather-necklace,tribal,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,aerial,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,canopy,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,cords,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,equipment,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,extreme,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,flare,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,recreation,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,risk,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
feather-necklace,symbolism,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_va9jYFUiHoYlKoXQDuaPgkcX,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.027824,,1
feather-necklace,thrill,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MV1GyISwM6FS3EKm2BBKDn2d,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.802042,,1
