icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
fez,drum,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,drumming,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,music,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,musical instrument,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,percussion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,rhythm,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,stick,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,artistic expression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,band,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,beat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,celebration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,circular,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,concert,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,cultural,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,cylinder,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,dance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,entertainment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,party,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,performance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,sound,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,tradition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,movement,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
fez,stirring,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGZ8ojKSjxBKgc2b3nHzYIM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.816812,,1
