icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
film-spool,cinema,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,2
film-spool,entertainment,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,2
film-spool,film reel,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,2
film-spool,filmmaking,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.824866,,1
film-spool,media,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,2
film-spool,movie,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,2
film-spool,production,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,1
film-spool,video,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,1
film-spool,analog,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,2
film-spool,broadcast,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.824866,,1
film-spool,classic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,2
film-spool,editing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,1
film-spool,old-fashioned,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.824866,,2
film-spool,projection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,2
film-spool,recording,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_kNy4YLNxUQoYQeO6q93OkINM,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.823861,,2
