icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
fire-punch,fire,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FDRHuDmtu4lvjQCf7Nae6JaL,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.484784,,1
fire-punch,fist,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sjZCQKgDmK8xjhafmY4jRuDR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.704349,,2
fire-punch,flame,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FDRHuDmtu4lvjQCf7Nae6JaL,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.484784,,1
fire-punch,force,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sjZCQKgDmK8xjhafmY4jRuDR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.704349,,2
fire-punch,grip,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sjZCQKgDmK8xjhafmY4jRuDR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.704349,,1
fire-punch,hand,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sjZCQKgDmK8xjhafmY4jRuDR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.704349,,1
fire-punch,impact,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FDRHuDmtu4lvjQCf7Nae6JaL,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.484784,,1
fire-punch,power,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sjZCQKgDmK8xjhafmY4jRuDR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.704349,,2
fire-punch,punch,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FDRHuDmtu4lvjQCf7Nae6JaL,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.484784,,1
fire-punch,strength,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sjZCQKgDmK8xjhafmY4jRuDR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.704349,,2
fire-punch,wrench,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sjZCQKgDmK8xjhafmY4jRuDR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.704349,,1
fire-punch,action,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FDRHuDmtu4lvjQCf7Nae6JaL,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.484784,,1
fire-punch,aggression,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FDRHuDmtu4lvjQCf7Nae6JaL,0,gpt-4o-2024-08-06,2024-08-18T22:29:19.484784,,1
fire-punch,assertiveness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sjZCQKgDmK8xjhafmY4jRuDR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.704349,,1
