icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
flame-claws,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,contour,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,curves,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,layers,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,slices,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,stack,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,aesthetic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,arrangement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,creative,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,depth,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,graphics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,overlapping,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,repetition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,spiral,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,texture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
flame-claws,waves,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_X1we9DorWVmylkgorSwzaF2o,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.744063,,1
