icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
forest-entrance,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,arrows,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,directions,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,lines,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,2
forest-entrance,branching,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,crossroads,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,decision,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,divergence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,dynamics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,expansion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,guidance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,intersection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,pathways,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,patterns,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,tension,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,abstract art,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,choice,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,creativity,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
forest-entrance,innovation,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KCDs09XarX9413uJxJjvDd8u,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.956280,,1
