icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
fox-head,abstract,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,design,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,ears,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,eyes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,fox,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,graphic,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,head,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,icon,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,minimalism,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,predator,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,silhouette,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,snout,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,wolf,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,cartoon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,creature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,cunning,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,feral,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,forest,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,game,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,mascot,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,mystery,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,mystical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,mythical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,mythology,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,nature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,nocturnal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,representation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,stealth,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,stylized,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
fox-head,wild,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,wilderness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,1
fox-head,wildlife,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,wisdom,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_dLPNVePWvEkNjqCcdPR6foGy,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.032034,,1
fox-head,tribal,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_J3VRenD5OOQcCWjiGpHzOor9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.814267,,2
