icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
fragmented-meteor,blast,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,broken,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,burst,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,collision,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,disintegration,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,disruption,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,energy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,explosion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,explosive,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,force,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,impact,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,meteor,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,movement,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,sharp edges,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,aggressive,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,asteroid,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,catastrophe,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,celestial,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,chaos,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,cosmic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,debris,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,destruction,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,directional,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,fragmentation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,frenzied,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,intensity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,jagged,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,outer space,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,shattered,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,2
fragmented-meteor,space,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_xGDIae6oyE6Z8PqE3Oml1SB7,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.038034,,1
fragmented-meteor,spikey,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,starburst,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,sudden,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
fragmented-meteor,abstract,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JzZccbwixHpt8NVs1bC8XMZp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.816268,,1
