icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
freemasonry,brotherhood,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_JLAyTUE9AGHI4dY7B5GxGdTz,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.667266,,1
freemasonry,compass,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_31CoKAS9ONpcaB0y434l79vU,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.984412,,2
freemasonry,esotericism,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_JLAyTUE9AGHI4dY7B5GxGdTz,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.667266,,1
freemasonry,freemasonry,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_JLAyTUE9AGHI4dY7B5GxGdTz,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.667266,,1
freemasonry,geometry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_31CoKAS9ONpcaB0y434l79vU,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.983412,,2
freemasonry,mystery,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_JLAyTUE9AGHI4dY7B5GxGdTz,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.667266,,1
freemasonry,philosophy,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_JLAyTUE9AGHI4dY7B5GxGdTz,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.667266,,1
freemasonry,secret society,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_JLAyTUE9AGHI4dY7B5GxGdTz,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.667266,,1
freemasonry,square,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_JLAyTUE9AGHI4dY7B5GxGdTz,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.667266,,1
freemasonry,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_31CoKAS9ONpcaB0y434l79vU,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.984412,,1
freemasonry,symbolism,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_JLAyTUE9AGHI4dY7B5GxGdTz,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.667266,,1
freemasonry,symbols,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_JLAyTUE9AGHI4dY7B5GxGdTz,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.667266,,1
freemasonry,tools,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_31CoKAS9ONpcaB0y434l79vU,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.984412,,2
