icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
french-horn,brass,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LueUrC2BXQn9taAM7bomv9Fr,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.273299,,1
french-horn,brass instrument,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_juAmsH1HE1InQJuCCocMbcdu,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.985079,,1
french-horn,french horn,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LueUrC2BXQn9taAM7bomv9Fr,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.273299,,1
french-horn,french-horn,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_juAmsH1HE1InQJuCCocMbcdu,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.985079,,1
french-horn,horn,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_juAmsH1HE1InQJuCCocMbcdu,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.985079,,1
french-horn,instrument,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LueUrC2BXQn9taAM7bomv9Fr,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.273299,,1
french-horn,music,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LueUrC2BXQn9taAM7bomv9Fr,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.273299,,2
french-horn,musical instrument,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_juAmsH1HE1InQJuCCocMbcdu,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.985079,,1
french-horn,abstract design,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_juAmsH1HE1InQJuCCocMbcdu,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.985079,,1
french-horn,band,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LueUrC2BXQn9taAM7bomv9Fr,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.273299,,2
french-horn,bell,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LueUrC2BXQn9taAM7bomv9Fr,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.273299,,1
french-horn,blow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LueUrC2BXQn9taAM7bomv9Fr,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.273299,,1
french-horn,circular shape,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_juAmsH1HE1InQJuCCocMbcdu,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.985079,,1
french-horn,classic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_juAmsH1HE1InQJuCCocMbcdu,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.985079,,1
french-horn,classical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LueUrC2BXQn9taAM7bomv9Fr,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.273299,,1
french-horn,coiled,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LueUrC2BXQn9taAM7bomv9Fr,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.273299,,1
