icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
fulguro-punch,arrows,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,change,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,iteration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,process,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,progress,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,sequence,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,steps,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,transition,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,automation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,circular,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,clockwise,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,cycle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,functionality,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,gear,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,mechanism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,operation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,progression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,recurrence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,rotation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,system,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,update,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,clock,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
fulguro-punch,ring,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_W7gdhtQgNGcq5itt6fLizFh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.842278,,1
