icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
galea,Greek,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,Roman,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,ancient armor,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,armor,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,2
galea,headgear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,2
galea,helmet,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,2
galea,iconic,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,knight,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,2
galea,medieval,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,protection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,2
galea,protection gear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,warrior,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,2
galea,abstract representation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,antique,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,antiquity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,battle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,2
galea,centurion,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,chivalry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,combat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,crest,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,defense,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,2
galea,gallant,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,gladiator,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,heroic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,historic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,historical,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,iron,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,legendary,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,military,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,2
galea,representation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,safety,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,soldier,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,warfare,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hzGqqmE5vj6oIn2dGfxMfVnU,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.887513,,1
galea,decoration,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,historical figure,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
galea,legend,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2HJDnKpYKgQ72pFPWFOdRFAz,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.032449,,1
