icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
gear-stick-pattern,automobile,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zwYBJGfvPrI48Rl5KLmmSrcO,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.978067,,1
gear-stick-pattern,automotive,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zwYBJGfvPrI48Rl5KLmmSrcO,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.978067,,1
gear-stick-pattern,connection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_o9ckugO83Od29O92m0Fce6h0,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.054886,,1
gear-stick-pattern,gear,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zwYBJGfvPrI48Rl5KLmmSrcO,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.978067,,1
gear-stick-pattern,graph,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_o9ckugO83Od29O92m0Fce6h0,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.054886,,1
gear-stick-pattern,hierarchy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_o9ckugO83Od29O92m0Fce6h0,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.054886,,1
gear-stick-pattern,interaction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_o9ckugO83Od29O92m0Fce6h0,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.054886,,1
gear-stick-pattern,lever,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zwYBJGfvPrI48Rl5KLmmSrcO,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.978067,,1
gear-stick-pattern,mechanical,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zwYBJGfvPrI48Rl5KLmmSrcO,0,gpt-4o-2024-08-06,2024-08-18T22:29:04.978067,,1
gear-stick-pattern,navigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_o9ckugO83Od29O92m0Fce6h0,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.054886,,2
gear-stick-pattern,network,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_o9ckugO83Od29O92m0Fce6h0,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.054886,,1
