icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
goat,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,capricorn,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,goat,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,horned,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,horns,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,zodiac,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,beard,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,domestic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,fauna,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,herbivore,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,livestock,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,mammal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,nature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,rugged,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,silhouette,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,wildlife,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,agriculture,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,cheese,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,cloven-hoofed,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,farms,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,field,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,mountain,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,pastoral,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
goat,ranch,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_whjizOKaklzdp23zbjYgbrlR,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.297964,,1
