icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
goblin,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.280366,,1
goblin,cat,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.280366,,1
goblin,character,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.280366,,2
goblin,creature,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ELFKIiRdFSRlicNsBbsAeNfD,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.044094,,1
goblin,face,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.280366,,2
goblin,goblin,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ELFKIiRdFSRlicNsBbsAeNfD,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.044094,,1
goblin,grin,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.280366,,1
goblin,mythical,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ELFKIiRdFSRlicNsBbsAeNfD,0,gpt-4o-2024-08-06,2024-08-18T22:28:58.044094,,1
goblin,stylized,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.281368,,1
goblin,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.280366,,2
goblin,cartoon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.280366,,1
goblin,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.281368,,2
goblin,ears,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.280366,,2
goblin,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.281368,,2
goblin,expression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lR6XIFi5q27HxZNX4M7wzHyl,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.281368,,1
