icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
gold-mine,cart,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,crane,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,excavation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,industrial,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,loading,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,mineral extraction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,mining,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,rail tracks,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,coal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,construction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,conveyor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,digging,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,haulage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,heavy equipment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,industry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,machinery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,mechanization,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,ore,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,quarry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,resource extraction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,site work,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,transport,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,tunnel,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,worksite,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,metal,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
gold-mine,tool,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_pFW6AXVTeR4K48W325rksnqW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.084868,,1
