icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
gold-shell,circle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.897781,,2
gold-shell,shell,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_lEqcl4GqAzVegcDDjtFl3dCY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.382360,,1
gold-shell,spiral,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.896780,,2
gold-shell,swirl,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.897781,,2
gold-shell,vortex,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.897781,,1
gold-shell,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.897781,,2
gold-shell,balance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.897781,,1
gold-shell,coiled,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_lEqcl4GqAzVegcDDjtFl3dCY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.382360,,1
gold-shell,concentration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.897781,,1
gold-shell,concentric,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_lEqcl4GqAzVegcDDjtFl3dCY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.382360,,1
gold-shell,continuity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.897781,,1
gold-shell,cyclone,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.897781,,1
gold-shell,design,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_lEqcl4GqAzVegcDDjtFl3dCY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.383344,,1
gold-shell,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.897781,,1
gold-shell,endless,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tSmOzUm18RCluD0Z0dbfsoAL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.897781,,1
