icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
gooey-molecule,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lwft3DBnBLUK9RyNOAOpximp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.911780,,2
gooey-molecule,bubbles,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_M2jcEL8gUgW8w8DOCQ1xcQqI,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.445892,,1
gooey-molecule,fluid,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_M2jcEL8gUgW8w8DOCQ1xcQqI,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.445892,,1
gooey-molecule,gooey,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_M2jcEL8gUgW8w8DOCQ1xcQqI,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.445892,,1
gooey-molecule,molecule,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_M2jcEL8gUgW8w8DOCQ1xcQqI,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.445892,,1
gooey-molecule,organic,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_M2jcEL8gUgW8w8DOCQ1xcQqI,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.445892,,1
gooey-molecule,organic shapes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lwft3DBnBLUK9RyNOAOpximp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.911780,,1
gooey-molecule,splash,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lwft3DBnBLUK9RyNOAOpximp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.911780,,2
gooey-molecule,splatter,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_M2jcEL8gUgW8w8DOCQ1xcQqI,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.445892,,1
gooey-molecule,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lwft3DBnBLUK9RyNOAOpximp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.911780,,1
gooey-molecule,biological,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lwft3DBnBLUK9RyNOAOpximp,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.911780,,2
