icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
grasping-slug,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,animal icon,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,flightless,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,penguin,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,silhouette,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,Antarctica,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,arctic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,bird,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,cold,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,feathers,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,ice,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,marine,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,natural habitat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,ocean,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,sea,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,sealife,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,snow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,swimming,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,wildlife,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,climate,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,ecosystem,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,environment,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
grasping-slug,nature,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tEZbEg3l2njVlJuqdysRCFCe,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.110868,,1
