icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
heart-earrings,accessory,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Hh0cx0NTjfP7P3kmbKuMb4e4,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.230551,,2
heart-earrings,earrings,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Hh0cx0NTjfP7P3kmbKuMb4e4,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.230551,,2
heart-earrings,fashion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Hh0cx0NTjfP7P3kmbKuMb4e4,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.230551,,2
heart-earrings,heart,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vpF7ZbuqAFq5uv9i8xu2yu6V,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.717549,,1
heart-earrings,heart shape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Hh0cx0NTjfP7P3kmbKuMb4e4,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.230551,,1
heart-earrings,jewelry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Hh0cx0NTjfP7P3kmbKuMb4e4,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.230551,,2
heart-earrings,accessorize,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Hh0cx0NTjfP7P3kmbKuMb4e4,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.230551,,1
heart-earrings,affection,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vpF7ZbuqAFq5uv9i8xu2yu6V,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.717549,,1
heart-earrings,attachment,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vpF7ZbuqAFq5uv9i8xu2yu6V,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.717549,,1
heart-earrings,charm,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vpF7ZbuqAFq5uv9i8xu2yu6V,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.717549,,1
heart-earrings,decorative,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vpF7ZbuqAFq5uv9i8xu2yu6V,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.717549,,1
heart-earrings,elegance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Hh0cx0NTjfP7P3kmbKuMb4e4,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.230551,,1
heart-earrings,fashion statement,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vpF7ZbuqAFq5uv9i8xu2yu6V,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.718502,,1
