icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
hearts,affection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,emotion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,heart,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,love,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,passion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,romance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,adore,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314893,,1
hearts,affinity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,altruism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314893,,1
hearts,care,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,cherish,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314893,,1
hearts,compassion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,connection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,devotion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,feeling,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,friendship,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,health,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,heartbeat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,icon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,intimacy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,pulse,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314893,,1
hearts,relationship,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,sentiment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314893,,1
hearts,unity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,valentine,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
hearts,well-being,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GeldK7me9KBbXNflEuQnWUb3,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.314344,,1
