icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
heavy-lightning,bolt,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,1
heavy-lightning,current,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,1
heavy-lightning,electric,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,1
heavy-lightning,electricity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,2
heavy-lightning,energy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,2
heavy-lightning,flash,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,2
heavy-lightning,lightning,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,2
heavy-lightning,power,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,2
heavy-lightning,speed,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,2
heavy-lightning,strike,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,2
heavy-lightning,symbol,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zysycUujtCOYRpt58pPLsqfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.865698,,1
heavy-lightning,thunderbolt,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zysycUujtCOYRpt58pPLsqfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.865698,,1
heavy-lightning,voltage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,1
heavy-lightning,alarm,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zysycUujtCOYRpt58pPLsqfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.865698,,1
heavy-lightning,blackout,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_r3M4MGtETCydfhXRX2QQkHkf,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.016872,,1
heavy-lightning,burst,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zysycUujtCOYRpt58pPLsqfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.865698,,1
