icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
heavy-rain,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,2
heavy-rain,cloudburst,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,downpour,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,drops,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,dynamic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,fluid,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,2
heavy-rain,heavy rain,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,precipitation,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,rain,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,rainfall,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,splash,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,2
heavy-rain,storm,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,weather,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,aquatic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.878690,,1
heavy-rain,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,atmosphere,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.878690,,1
heavy-rain,climate,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,curves,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,drizzle,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.878690,,1
heavy-rain,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,forecast,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.878690,,1
heavy-rain,impact,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,modern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,monsoon,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.878690,,1
heavy-rain,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,nature,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,speed,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,stylized,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,vector,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,water,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,wet,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.877690,,1
heavy-rain,cutting-edge,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,decorative,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lo6Qwfojuvn2ScruUieyDZZH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.018920,,1
heavy-rain,ecosystem,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IAaCrTuMy2zM9xobvEkFN07J,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.878690,,1
