icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
heavy-thorny-triskelion,arrows,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,cycle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,defense,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,mystical,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.894746,,1
heavy-thorny-triskelion,recycle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,rotation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,2
heavy-thorny-triskelion,sharp,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.894746,,1
heavy-thorny-triskelion,symbol,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,thorns,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,threefold,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.894746,,1
heavy-thorny-triskelion,triad,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,tripartite,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.894746,,1
heavy-thorny-triskelion,triskelion,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,circular,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,2
heavy-thorny-triskelion,continuity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,cultural,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.894746,,1
heavy-thorny-triskelion,design,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.894746,,1
heavy-thorny-triskelion,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,energy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,equilibrium,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.894746,,1
heavy-thorny-triskelion,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,geometry,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.894746,,1
heavy-thorny-triskelion,infinity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,interconnection,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.894746,,1
heavy-thorny-triskelion,loop,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,2
heavy-thorny-triskelion,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,process,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,protection,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,renewal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,repeat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,reuse,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_G6oldaiY9GYwabrADgtvfG2S,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.020873,,1
heavy-thorny-triskelion,spiral,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.893737,,1
heavy-thorny-triskelion,unity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fksQecZxeFs65sUHjjpUa6xY,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.894746,,1
