icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
helmet,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,circle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,progression,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,shape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,spiral,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,arc,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,evolution,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,expansion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,geometry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,growth,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,logo,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,minimalist,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,nautilus,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,path,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,rotation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,round,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,shell,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
helmet,vision,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eZvg698lLDiFbfuvFESQgsNQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.004029,,1
