icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
heptagram,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,complex shape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,iconic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,multipoint,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,pointed edges,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,star,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,symmetry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,centered,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,decoration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,geometric art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,geometry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,polygon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,sharp points,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,spatial design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,stellar,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,structure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,accent,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,celestial,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,irregular,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,mandala,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,navigation,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
heptagram,origami,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_eSF4fZj2wpJeY5VJWsBnj0RP,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.256726,,1
