icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
hobbit-dwelling,architecture,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,2
hobbit-dwelling,building,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,circular door,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,cozy,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,cultural icon,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,fantasy,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,fiction,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,hobbit,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,home,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,2
hobbit-dwelling,house,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,2
hobbit-dwelling,idyllic living,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,mythical,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,residence,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,symbolic shelter,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,window,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,2
hobbit-dwelling,abode,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,comfort,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,door,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,dwelling,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,2
hobbit-dwelling,earthy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,grassy roof,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,habitation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,icon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,literature,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,nature,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,nestled,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,property,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,real estate,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,roof,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,rural,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,shelter,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,storybook,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,storybook dwellings,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,structure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,symbolism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,underground,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_hhZEfe6uosXtcdijglFS9kHV,0,gpt-4o-2024-08-06,2024-08-18T22:29:05.971730,,1
hobbit-dwelling,graphic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,illustration,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,minimalist,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,pictogram,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
hobbit-dwelling,simple,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QJIQtFixPekA8Vjfkoyxsiz9,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.290725,,1
