icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
holy-grail,achievement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t5DtLK0zZp27bJDQ47FwkJFC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.033968,,1
holy-grail,artifact,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_qB4J3V91nkaGQFvjDqVaDE9P,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.945399,,1
holy-grail,award,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t5DtLK0zZp27bJDQ47FwkJFC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.033968,,1
holy-grail,chalice,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_qB4J3V91nkaGQFvjDqVaDE9P,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.945399,,1
holy-grail,champion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t5DtLK0zZp27bJDQ47FwkJFC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.033968,,1
holy-grail,divine,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_qB4J3V91nkaGQFvjDqVaDE9P,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.946329,,1
holy-grail,holy,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_qB4J3V91nkaGQFvjDqVaDE9P,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.945399,,1
holy-grail,legend,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_qB4J3V91nkaGQFvjDqVaDE9P,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.945399,,1
holy-grail,legendary,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_qB4J3V91nkaGQFvjDqVaDE9P,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.945399,,1
holy-grail,mythical,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_qB4J3V91nkaGQFvjDqVaDE9P,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.945399,,1
holy-grail,quest,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_qB4J3V91nkaGQFvjDqVaDE9P,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.945399,,1
holy-grail,sacred,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_qB4J3V91nkaGQFvjDqVaDE9P,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.945399,,1
holy-grail,spiritual,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_qB4J3V91nkaGQFvjDqVaDE9P,0,gpt-4o-2024-08-06,2024-08-18T22:29:20.945399,,1
holy-grail,success,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t5DtLK0zZp27bJDQ47FwkJFC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.033968,,1
