icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
hyena-head,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,bear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,ears,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,face,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,panda,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,symmetry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,cute,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,embrace,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,environment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,geometric,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,mammal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,minimalist,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,nature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,wildlife,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,conservation,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,endangered,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,mascot,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,pattern,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
hyena-head,zoology,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_xCp2zJpiPhKMh8NvteyYeadP,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.292306,,1
