icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
ice-iris,eye,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7tQlLX5BXucuHHJzihZ2gBxW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.368808,,2
ice-iris,focus,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7tQlLX5BXucuHHJzihZ2gBxW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.368808,,2
ice-iris,gear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7tQlLX5BXucuHHJzihZ2gBxW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.368808,,1
ice-iris,ice,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_a10nAXVRZDUklxOIJJc5dl7w,0,gpt-4o-2024-08-06,2024-08-18T22:29:06.347935,,1
ice-iris,iris,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_a10nAXVRZDUklxOIJJc5dl7w,0,gpt-4o-2024-08-06,2024-08-18T22:29:06.347935,,1
ice-iris,observation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7tQlLX5BXucuHHJzihZ2gBxW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.368808,,1
ice-iris,perspective,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7tQlLX5BXucuHHJzihZ2gBxW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.368808,,2
ice-iris,view,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7tQlLX5BXucuHHJzihZ2gBxW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.368808,,1
ice-iris,vision,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7tQlLX5BXucuHHJzihZ2gBxW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.368808,,2
ice-iris,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_a10nAXVRZDUklxOIJJc5dl7w,0,gpt-4o-2024-08-06,2024-08-18T22:29:06.347935,,1
ice-iris,cogs,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7tQlLX5BXucuHHJzihZ2gBxW,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.368808,,1
ice-iris,cold,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_a10nAXVRZDUklxOIJJc5dl7w,0,gpt-4o-2024-08-06,2024-08-18T22:29:06.347935,,1
