icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
ink-swirl,circle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,dynamics,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,flow,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,motion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,rotation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,spiral,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,swirl,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,vortex,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,abstract art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,balance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,conceptual,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,continuity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,cyclone,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,harmony,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,infinity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,rhythm,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,symbolism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,tornado,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,unity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,whirl,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,form,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,round,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
ink-swirl,shape,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_5lIntpjCxfmdg31Cqre1lsuF,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.127853,,1
