icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
invisible-face,anonymity,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0GFAit0uLAdZIM200pfugyl1,0,gpt-4o-2024-08-06,2024-08-18T22:29:06.513854,,1
invisible-face,concealment,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0GFAit0uLAdZIM200pfugyl1,0,gpt-4o-2024-08-06,2024-08-18T22:29:06.513854,,1
invisible-face,face,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qSJDm9TOPTNPYEgOLqMLQV8c,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.415810,,2
invisible-face,incognito,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qSJDm9TOPTNPYEgOLqMLQV8c,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.415810,,1
invisible-face,invisibility,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0GFAit0uLAdZIM200pfugyl1,0,gpt-4o-2024-08-06,2024-08-18T22:29:06.513854,,1
invisible-face,masking,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0GFAit0uLAdZIM200pfugyl1,0,gpt-4o-2024-08-06,2024-08-18T22:29:06.513854,,1
invisible-face,sunglasses,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qSJDm9TOPTNPYEgOLqMLQV8c,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.415810,,1
invisible-face,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qSJDm9TOPTNPYEgOLqMLQV8c,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.415810,,1
invisible-face,abstract face,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0GFAit0uLAdZIM200pfugyl1,0,gpt-4o-2024-08-06,2024-08-18T22:29:06.513854,,1
invisible-face,abstraction,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_0GFAit0uLAdZIM200pfugyl1,0,gpt-4o-2024-08-06,2024-08-18T22:29:06.513854,,1
