icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
island,beach,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,island,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,ocean,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,palm trees,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,sea,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,tropical,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,vacation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,coastline,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,escape,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,exotic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,getaway,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,holiday,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,horizon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,nature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,paradise,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,relaxation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
island,scenery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qGqtYv21DadxT4ZFMgJJeNVw,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.426810,,1
