icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
john-redman_scissors,fingers,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,gesture,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,hand,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,peace,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,sign,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,body language,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,communication,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,culture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,expression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,gesture language,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,human,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,icon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,interaction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,meaning,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,nonverbal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,palm,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,representation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,victory,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,abstract,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,interface,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,shape,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
john-redman_scissors,simple,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_OnYjd98P1FvTlbs7sYGhD19F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.768689,,1
