icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
jumping-rope,figure,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,human,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,identity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,individual,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,person,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,avatar,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,form,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,generic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,man,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,minimalist,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,representation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,shape,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,silhouette,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,basic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,cartoon,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,character,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,generic icon,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,identity badge,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,logo,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,mark,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,outline,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
jumping-rope,profile,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bdJz4nRrfPJeoXEZY1gdDPnX,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.495855,,1
