icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
leaky-skull,abstract face,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,bones,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,danger,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,octopus,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,ominous,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,skull,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,spooky,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,tentacles,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,unsettling,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,warning,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,Halloween,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,alien,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,creature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,fantasy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,intimidation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,marine,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,monster,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,mystery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
leaky-skull,mythical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9pFS2slav03JZCNZ1eibzQVr,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.227472,,1
