icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
lighthouse,beacon,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GKK9JWHgSRKb1MKYpkXKXQf5,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.643005,,2
lighthouse,guidance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GKK9JWHgSRKb1MKYpkXKXQf5,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.643005,,2
lighthouse,light,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GKK9JWHgSRKb1MKYpkXKXQf5,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.643005,,2
lighthouse,lighthouse,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GKK9JWHgSRKb1MKYpkXKXQf5,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.643005,,2
lighthouse,nautical,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Bx0HYGYkef6pBLT2vt6Dhpd1,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.279157,,1
lighthouse,navigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GKK9JWHgSRKb1MKYpkXKXQf5,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.643005,,2
lighthouse,signal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GKK9JWHgSRKb1MKYpkXKXQf5,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.643005,,2
lighthouse,alert,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GKK9JWHgSRKb1MKYpkXKXQf5,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.643005,,2
lighthouse,coast,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GKK9JWHgSRKb1MKYpkXKXQf5,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.643005,,1
lighthouse,coastline,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Bx0HYGYkef6pBLT2vt6Dhpd1,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.279157,,1
lighthouse,direction,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Bx0HYGYkef6pBLT2vt6Dhpd1,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.279157,,1
lighthouse,directions,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_GKK9JWHgSRKb1MKYpkXKXQf5,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.643005,,1
lighthouse,emergency,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Bx0HYGYkef6pBLT2vt6Dhpd1,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.279157,,1
