icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
linked-rings,circle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,connection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,continuity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,infinity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,interlink,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,intersection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,loop,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,overlapping,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,balance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,boundless,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,chain,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,cohesion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,cyclical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,duality,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,eternal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,harmony,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,integration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,pairing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,relationship,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,symmetry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,unity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,wholeness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,geometry,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,recurrence,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
linked-rings,symbolism,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8BLrx3SYqqcHAnxTPNJmQJlg,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.293770,,1
