icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
lion,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,courage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,king,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,lion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,mane,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,power,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,strength,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,characteristic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,fantasy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,head,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,illustration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,mythical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,predator,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,wildlife,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,badge,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,felidae,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
lion,representation,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tvPFoNp7P3p3haMqVwMFHj53,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.295766,,1
