icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
lorgnette,detection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,discovery,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,dual lenses,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,exploration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,eyewear,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,glasses,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,hand-held,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,handle,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,investigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,lorgnette,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,magnifying glass,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,optical,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,search,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,spectacles,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,vision,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,accessory,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,analysis,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,antique,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,bifocals,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,circles,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,clarity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,connected,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,curved lines,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,design,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,elegance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,examine,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,fashion,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,focus,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,historical,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,identify,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,inspect,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,lens,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,magnification,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,overview,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,reading,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,scrutiny,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_NX6XhGBcyOV8kqZglyNbg0lA,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.693534,,1
lorgnette,seeing,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
lorgnette,symbol of status,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_V5KRiG8rvVhRQVPRy5kS4Dj9,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.415021,,1
