icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
lucifer-cannon,aerodynamic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m5zD0HcdrwkBnNUg8cpRUzt8,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.032032,,1
lucifer-cannon,combat,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_WFeP09EbC3OoCeRrIl2q6N26,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.942654,,1
lucifer-cannon,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m5zD0HcdrwkBnNUg8cpRUzt8,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.032032,,1
lucifer-cannon,dynamic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m5zD0HcdrwkBnNUg8cpRUzt8,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.032032,,1
lucifer-cannon,explosion,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_WFeP09EbC3OoCeRrIl2q6N26,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.942654,,1
lucifer-cannon,flare,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_WFeP09EbC3OoCeRrIl2q6N26,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.942654,,1
lucifer-cannon,forward,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m5zD0HcdrwkBnNUg8cpRUzt8,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.032032,,1
lucifer-cannon,lucifer-cannon,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_WFeP09EbC3OoCeRrIl2q6N26,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.942654,,1
lucifer-cannon,motion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m5zD0HcdrwkBnNUg8cpRUzt8,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.032032,,2
lucifer-cannon,movement,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_WFeP09EbC3OoCeRrIl2q6N26,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.942654,,1
lucifer-cannon,progress,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m5zD0HcdrwkBnNUg8cpRUzt8,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.032032,,1
lucifer-cannon,projectile,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_WFeP09EbC3OoCeRrIl2q6N26,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.942654,,1
lucifer-cannon,speed,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m5zD0HcdrwkBnNUg8cpRUzt8,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.032032,,2
lucifer-cannon,streamlined,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m5zD0HcdrwkBnNUg8cpRUzt8,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.032032,,1
lucifer-cannon,swift,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m5zD0HcdrwkBnNUg8cpRUzt8,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.032032,,1
