icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
magic-swirl,communication,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,fingers,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,gesture,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,2
magic-swirl,hand,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,2
magic-swirl,human,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,interaction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,magic,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X8buY73rghQeDwc4Ve9cTvRm,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.029613,,1
magic-swirl,open hand,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,palms,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,spiral,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X8buY73rghQeDwc4Ve9cTvRm,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.029613,,1
magic-swirl,swirl,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X8buY73rghQeDwc4Ve9cTvRm,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.029613,,1
magic-swirl,welcome,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,2
magic-swirl,care,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,circle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,2
magic-swirl,community,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,conjure,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X8buY73rghQeDwc4Ve9cTvRm,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.030133,,1
magic-swirl,curved lines,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,cycle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X8buY73rghQeDwc4Ve9cTvRm,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.030133,,1
magic-swirl,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X8buY73rghQeDwc4Ve9cTvRm,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.030133,,1
magic-swirl,embrace,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MxwJu5nIgAymrrjhuLHWxQvG,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.354158,,1
magic-swirl,enchantment,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X8buY73rghQeDwc4Ve9cTvRm,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.029613,,1
magic-swirl,energy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X8buY73rghQeDwc4Ve9cTvRm,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.029613,,1
