icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
magnet-blast,door,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,key,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,keyhole,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,lock,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,privacy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,protection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,protection system,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,security,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,unlock,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,access,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,authentication,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,closure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,device,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,entry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,home,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,mechanism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,password,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,safe,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,solution,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,technology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,tool,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,unlocking,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
magnet-blast,opportunity,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BYhN60s445V8XPTtA4ij9UcC,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.356148,,1
