icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
mighty-horn,growth,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
mighty-horn,horn,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,leaf,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
mighty-horn,life,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
mighty-horn,natural,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
mighty-horn,nature,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
mighty-horn,plant,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
mighty-horn,power,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,strength,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,alert,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,amplify,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,ancient,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,animal,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,battle,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,blast,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,bold,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,botanical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
mighty-horn,call,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,crescent,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,curve,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,echo,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zLfQnefxkilaPXFOZJQ6lz6t,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.943947,,1
mighty-horn,eco-friendly,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
mighty-horn,ecology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
mighty-horn,environment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
mighty-horn,flora,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_JS4R1PH1pxofvU8HsOXUf030,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.834123,,1
