icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
mimic-chest,danger,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,deception,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,mimic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,monster,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,predator,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,surprise,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,teeth,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,trap,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,treasure chest,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,unexpected,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,adventure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,bite,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,1
mimic-chest,camouflage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,fangs,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_iqV0aZ9tDGQGLCukTvUI1yt6,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.961951,,1
mimic-chest,fantasy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,fear,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,1
mimic-chest,guard,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,hidden,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,illusion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,keyhole,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,2
mimic-chest,lock,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,1
mimic-chest,mythical,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_iqV0aZ9tDGQGLCukTvUI1yt6,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.961951,,1
mimic-chest,suspicion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,1
mimic-chest,threat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,1
mimic-chest,treasure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,1
mimic-chest,unlock,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_iqV0aZ9tDGQGLCukTvUI1yt6,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.961951,,1
mimic-chest,challenges,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_iqV0aZ9tDGQGLCukTvUI1yt6,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.961951,,1
mimic-chest,game,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_iqV0aZ9tDGQGLCukTvUI1yt6,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.961951,,1
mimic-chest,guarded treasure,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_iqV0aZ9tDGQGLCukTvUI1yt6,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.961951,,1
mimic-chest,intimidation,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_iqV0aZ9tDGQGLCukTvUI1yt6,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.961951,,1
mimic-chest,loot,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_iqV0aZ9tDGQGLCukTvUI1yt6,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.961951,,1
mimic-chest,plunder,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_iqV0aZ9tDGQGLCukTvUI1yt6,0,gpt-4o-2024-08-06,2024-08-18T22:29:07.961951,,1
mimic-chest,protection,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fzLZxKMAVT4oUp5QFw5i6OUd,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.840144,,1
