icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
missile-swarm,arrows,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,directions,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,navigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,bifurcation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,choice,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,convergence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,coordination,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,divergence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,guidance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,orientation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,pathways,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,transition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,vectors,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,abstract,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,diagram,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,geometry,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,indication,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,interaction,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,symbol,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,system,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
missile-swarm,triangles,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_sxLs94VeL4gXt4Mty3Nq5YiK,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.451241,,1
