icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
moebius-triangle,Penrose triangle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,geometric,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,impossible shape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,optical illusion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,triangle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,visual trick,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,Endless loop,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,MC Escher,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,conceptual,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,geometry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,infinite,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,mathematical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,paradox,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,perspective,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,puzzle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,structural,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,three-dimensional,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
moebius-triangle,vision,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_MtNxt2NaJEY24LhNp3D3epmR,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.459823,,1
