icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
necklace,accessory,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,achievement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,award,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,badge,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,excellence,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,honor,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,jewelry,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,medal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,necklace,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,ornament,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,pendant,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,recognition,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,success,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,adornment,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,celebration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,ceremony,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,charm,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,commendation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,decor,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,decoration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,diamond,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,distinction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,elegance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,embellishment,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,fashion,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,first place,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,knot,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,loop,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,2
necklace,merit,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,prestige,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,prize,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,ribbon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,status,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,string,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,style,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364079,,1
necklace,trophy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,victory,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,1
necklace,abstract,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,artistic,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,geometric,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,graphic,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,minimalist,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,pattern,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,shape,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fk2SVI7lNIAkquShDkAlg9DR,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.364969,,1
necklace,symbol,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_CYaHZavQlQSz7KDIzDzXEyFg,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.872403,,2
