icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
nuclear,danger,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,hazard,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,nuclear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,nuclear power,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,radiation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,warning,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,alert,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,biohazard,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,caution,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,circle,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,contamination,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,emergency,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,iconography,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,industrial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,power plant,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,reactivity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,reactor,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,safety,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,science,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,sign,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,technology,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,toxic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,toxin,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,triangular shapes,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,atomic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,defense,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,environment,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,environmental,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,exposure,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,fallout,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,2
nuclear,fusion,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,infrastructure,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,invisible threat,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,isotope,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,nuclear fission,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,physics,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,precaution,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,protective measures,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,risk,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_SRtiaVzSmxjwwsQIhwtPzWFM,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.979675,,1
nuclear,safety protocols,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,symbolic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
nuclear,universal,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_D3ZZ81Rdzto5xsQWe3oRTZvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.041039,,1
