icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
obelisk,commemoration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,commemorative,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,landmark,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,memorial,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,monument,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,obelisk,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,remembrance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,architecture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,classic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,formality,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,geometric,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,heritage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,historic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,pillar,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,pointed,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,recognition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,stability,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,straight,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,structure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,tower,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,vertical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,vertical emphasis,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
obelisk,sharp,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HkOkIZ6vPQO5KYdUUrGHJreF,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.008557,,1
