icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
octoman,android,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,artificial intelligence,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,automation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,humanoid,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,robot,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,technology,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,circuit,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,control,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,cyborg,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,data,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,digital,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,efficiency,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,electronics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,futurism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,futuristic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,industrial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,innovation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,interface,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,machine,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,mechanical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,modern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,processing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,science fiction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,symmetric,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,complexity,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,motion,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,network,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
octoman,strength,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZcSL62kYFu7QF4bWje3vimSH,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.533907,,1
