icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
oil-pump,derrick,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,drilling,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,energy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,energy sector,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,extraction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,fossil fuels,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,industrial,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,industrial equipment,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,machinery,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,oil pump,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,petroleum,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,construction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,economy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,engineering,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,industry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,infrastructure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,manufacturing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,mechanical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,power,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,production,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,resource,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,technology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,worksite,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,environment,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
oil-pump,mining,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_9h2rKlOSIdGpY8puScZRZiQ7,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.023560,,1
