icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
open-wound,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fTDvMjDQ5siSf48Zz43tkU8k,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.549937,,1
open-wound,bat,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fTDvMjDQ5siSf48Zz43tkU8k,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.549937,,1
open-wound,cut,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zsrTQcHsTkXwFLprz61GS8MX,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.799303,,1
open-wound,damage,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zsrTQcHsTkXwFLprz61GS8MX,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.799303,,1
open-wound,danger,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zsrTQcHsTkXwFLprz61GS8MX,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.799303,,1
open-wound,injury,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zsrTQcHsTkXwFLprz61GS8MX,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.799303,,1
open-wound,open wound,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zsrTQcHsTkXwFLprz61GS8MX,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.799303,,1
open-wound,pain,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zsrTQcHsTkXwFLprz61GS8MX,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.799303,,1
open-wound,risk,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zsrTQcHsTkXwFLprz61GS8MX,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.799303,,1
open-wound,silhouette,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fTDvMjDQ5siSf48Zz43tkU8k,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.549937,,1
open-wound,wing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fTDvMjDQ5siSf48Zz43tkU8k,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.549937,,1
open-wound,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_fTDvMjDQ5siSf48Zz43tkU8k,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.549937,,2
open-wound,alert,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zsrTQcHsTkXwFLprz61GS8MX,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.799303,,1
open-wound,bleeding,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zsrTQcHsTkXwFLprz61GS8MX,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.799303,,1
open-wound,caution,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_zsrTQcHsTkXwFLprz61GS8MX,0,gpt-4o-2024-08-06,2024-08-18T22:29:22.799303,,1
