icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
orange,circle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i6GMWyu0XbLnCLc7Dpztaj7i,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.048999,,2
orange,citrus,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_PeGHZT3XWFndUSafCDS2i86v,0,gpt-4o-2024-08-06,2024-08-18T22:29:08.798188,,1
orange,fruit,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_PeGHZT3XWFndUSafCDS2i86v,0,gpt-4o-2024-08-06,2024-08-18T22:29:08.798188,,1
orange,radial,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_PeGHZT3XWFndUSafCDS2i86v,0,gpt-4o-2024-08-06,2024-08-18T22:29:08.798188,,1
orange,round,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i6GMWyu0XbLnCLc7Dpztaj7i,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.048999,,1
orange,segments,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_PeGHZT3XWFndUSafCDS2i86v,0,gpt-4o-2024-08-06,2024-08-18T22:29:08.798188,,1
orange,slices,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_PeGHZT3XWFndUSafCDS2i86v,0,gpt-4o-2024-08-06,2024-08-18T22:29:08.798188,,1
orange,spokes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i6GMWyu0XbLnCLc7Dpztaj7i,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.048999,,1
orange,wheel,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_i6GMWyu0XbLnCLc7Dpztaj7i,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.048999,,2
orange,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_PeGHZT3XWFndUSafCDS2i86v,0,gpt-4o-2024-08-06,2024-08-18T22:29:08.798188,,1
