icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
overdrive,adjustment,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,configuration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,engineering,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,gear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,maintenance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,mechanical,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,mechanism,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,repair,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,settings,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,wrench,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,assembly,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,customization,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,efficiency,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,industrial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,machinery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,operation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,optimization,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,process,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,rotation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,structure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,system,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,technology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,tools,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,workshop,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,circular,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
overdrive,function,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DsBeemsNER6HssX2Fk8iNvGY,0,gpt-4o-2024-08-06,2024-08-18T21:02:16.569568,,1
