icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
paint-roller,drip,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,liquid drop,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,paint roller,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,painting,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,DIY,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,brush,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,coating,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,construction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,covering,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,decoration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,finishing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,home improvement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,interior design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,liquid,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,maintenance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,renovation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,rolling,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,surface,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,tool,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,wall,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,application,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
paint-roller,smooth,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Bax6YqBfwWzH8y7myF8tkE7o,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.078999,,1
