icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
passport,citizenship,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,document,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,documentation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,identity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,international,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,official,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,passport,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,permit,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,travel,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,approval,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,arrival,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,authority,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,booklet,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,crossing borders,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,departure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,emigration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,entry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,globe,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,immigration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,journey,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,legal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,license,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,paperwork,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,personal data,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,visa,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,world,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
passport,recognition,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dJ64vSbXiAQHOIh43rW8mG0v,0,gpt-4o-2024-08-06,2024-08-18T21:02:13.117002,,1
