icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
pauldrons,performance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,props,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,stage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,celebration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,ceremony,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,creativity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,duo,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,entertainment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.396362,,1
pauldrons,event,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.396362,,1
pauldrons,expression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,gathering,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,pair,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,social,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.396362,,1
pauldrons,theater,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.395359,,1
pauldrons,abstract,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.396362,,1
pauldrons,communication,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.396362,,1
pauldrons,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.396362,,1
pauldrons,illustration,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.396362,,1
pauldrons,symmetry,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QZVwxyqNTOabYsDBEepHNluQ,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.396362,,1
